epoch, loss,accuracy,val_loss, val_accuracy
0,0.2877,0.8982,0.0616,0.9798
1,0.0582,0.9822,0.0502,0.9825
2,0.0415,0.9876,0.0348,0.9862
3,0.0310,0.9904,0.0266,0.9887
4,0.0251,0.9925,0.0276,0.9888
5,0.0209,0.9935,0.0264,0.9893
6,0.0171,0.9947,0.0289,0.9890
7,0.0143,0.9959,0.0258,0.9893
8,0.0115,0.9968,0.0253,0.9908
9,0.0095,0.9974,0.0253,0.9901
10,0.0086,0.9976,0.0257,0.9899
11,0.0074,0.9980,0.0245,0.9901
12,0.0066,0.9983,0.0258,0.9900
13,0.0054,0.9989,0.0262,0.9907
14,0.0043,0.9992,0.0256,0.9914
15,0.0038,0.9992,0.0264,0.9909
16,0.0036,0.9992,0.0273,0.9912
17,0.0031,0.9994,0.0278,0.9912
18,0.0029,0.9994,0.0295,0.9912
19,0.0025,0.9995,0.0285,0.9909
20,0.0023,0.9995,0.0277,0.9912
21,0.0021,0.9996,0.0287,0.9910
22,0.0018,0.9997,0.0295,0.9907
23,0.0017,0.9996,0.0315,0.9906
24,0.0016,0.9998,0.0307,0.9911
